source,p,h,i,sup_over_frobenius_ball,sup_over_spectral_ball,claims.C4_prop41.thm_d4_finite_perturbation.ok,claims.C4_prop41.thm_d4_finite_perturbation.n_eigenpairs_checked,claims.C4_prop41.thm_d4_finite_perturbation.worst_err_over_bound,claims.C4_prop41.thm_d4_finite_perturbation.bound_never_violated,c_scale_of_K_JH,K_JH_columns_are_orthonormal,worst_err_over_maintext_bound,worst_err_over_appendix_bound,khh_inverse_spectral_norm,the_two_bounds_are_the_same_expression
claims.C4_prop41.thm_d4_exact_supremum.per_config,12,5,0,1.4135094482086898,1.9990039840637452,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,12,5,1,1.4135094482083759,1.9990039840633016,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,12,5,2,1.4121008691383186,1.9970119521912362,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,12,5,3,1.4106922900679837,1.9950199203182823,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,12,5,4,1.4092837109986271,1.993027888446216,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,16,6,0,1.3017082793177757,1.8333333333333333,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,16,6,1,1.3017082793177757,1.8333333333333333,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,16,6,2,1.0671873729054742,1.500000000000001,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,16,6,3,0.8333333333333336,1.1666666666666672,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,16,6,4,0.6009252125773317,0.8333333333333339,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,16,6,5,0.372677996249965,0.5000000000000002,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,24,8,0,1.41414290292321,1.9999000699510348,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,24,8,1,1.41414290292321,1.9999000699510352,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,24,8,2,1.4140015804928503,1.999700209853104,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,24,8,3,1.4138602580624902,1.9995003497551727,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,24,8,4,1.413718935632132,1.9993004896572408,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,24,8,5,1.4135776132017726,1.9991006295593094,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,24,8,6,1.4134362907714135,1.998900769461378,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,24,8,7,1.4132949683410534,1.9987009093634467,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,40,10,0,1.3754909336822163,1.9444444444444444,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,40,10,1,1.3754909336822163,1.9444444444444453,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,40,10,2,1.2969575033254144,1.8333333333333304,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,40,10,3,1.218428455525628,1.7222222222222237,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,40,10,4,1.1399046960379555,1.6111111111111118,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,40,10,5,1.0613873985857092,1.4999999999999978,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,40,10,6,0.9828781118307853,1.3888888888888897,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,40,10,7,0.904378922005539,1.277777777777779,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,40,10,8,0.8258927081843616,1.1666666666666672,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,40,10,9,0.7474235581707618,1.055555555555556,,,,,,,,,,
claims.C4_prop41.thm_d4_finite_perturbation,,,,,,True,1349,0.2976429886310494,True,,,,,,
claims.C4_prop41.maintext_bound_scaling_counterexample.rows,,,,,,,,,,1,True,0.08261182971812393,0.08261182971812393,3.0,True
claims.C4_prop41.maintext_bound_scaling_counterexample.rows,,,,,,,,,,10,False,0.826118809325833,0.826118809325833,3.0,True
claims.C4_prop41.maintext_bound_scaling_counterexample.rows,,,,,,,,,,100,False,8.26118854483652,8.26118854483652,3.0,True
claims.C4_prop41.maintext_bound_scaling_counterexample.rows,,,,,,,,,,1000,False,82.61188896672957,82.61188896672957,3.0,True
claims.C4_prop41.maintext_bound_scaling_counterexample.rows,,,,,,,,,,10000,False,826.1171033355777,826.1171033355777,3.0,True
