source,sigma_max,errors,n_star,n_star_crossing,n_star_fit,usable,ratio,r2,decay_slope,why,pi_min,p_total,n,median_max_abs_pi_error,iqr,stated_bound_unit_sqrt_plogp_over_n,error_over_stated_unit,independent_check.c6_slope_recheck.available,independent_check.c6_slope_recheck.theil_sen_slope,independent_check.c6_slope_recheck.least_squares_slope,independent_check.c6_slope_recheck.theil_sen_agrees_no_sigma_growth,independent_check.c6_slope_recheck.abs_difference_between_estimators,independent_check.c6_slope_recheck.estimators_agree_on_the_slope,independent_check.c6_slope_recheck.why
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.per_setting_screen.usable,2.0,,,11853.312043589116,5105.591786360847,True,2.321633326670226,0.9232295769473042,-0.3049031971900119,,,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.per_setting_screen.usable,2.2,,,12511.764616233142,9876.735444342099,True,1.2667915108934626,0.8911073677174084,-0.2835627234576411,,,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.per_setting_screen.dropped,1.0,,,438.3311666919929,1536.721088658842,False,3.505844907758218,0.6704483027327934,-0.14686926486055119,"the two n* estimators disagree by 3.5x (limit 3.0x); the decay is too shallow to extrapolate (slope=-0.147, |slope| < 0.15); n* amplifies noise by ~7x",,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.per_setting_screen.dropped,1.15,,,479.7805855065677,13214.038321007558,False,27.541836248033572,0.38994254849569987,-0.09795613880494082,"the two n* estimators disagree by 27.5x (limit 3.0x); the decay fit explains little of the curve (r2=0.39 < 0.5); the decay is too shallow to extrapolate (slope=-0.098, |slope| < 0.15); n* amplifies noise by ~10x",,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.informativeness.per_setting_screen.dropped,1.0,,,438.3311666919929,1536.721088658842,False,3.505844907758218,0.6704483027327934,-0.14686926486055119,"the two n* estimators disagree by 3.5x (limit 3.0x); the decay is too shallow to extrapolate (slope=-0.147, |slope| < 0.15); n* amplifies noise by ~7x",,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.informativeness.per_setting_screen.dropped,1.15,,,479.7805855065677,13214.038321007558,False,27.541836248033572,0.38994254849569987,-0.09795613880494082,"the two n* estimators disagree by 27.5x (limit 3.0x); the decay fit explains little of the curve (r2=0.39 < 0.5); the decay is too shallow to extrapolate (slope=-0.098, |slope| < 0.15); n* amplifies noise by ~10x",,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.rows,,"[0.2356529541090811, 0.1941930899304991, 0.1703020100376222, 0.18896890673033478, 0.19580166481604622, 0.14336112967361075, 0.11892203914089139, 0.054132267871589035, 0.05190282497314597, 0.051677142604843906, 0.04881464555482923, 0.020935306239944718, 0.022534760826325134, 0.0117219609933647, None, None, None, None, None]",981.5296570903186,1640.9253300446012,"{'n_star': 981.5296570903186, 'decay_slope': -0.473860215771527, 'r2': 0.9270593735487559, 'why': 'fitted'}",,,,,,0.25,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.rows,,"[0.19840041494266347, 0.19021079814879516, 0.11138953953349362, 0.19008146079987698, 0.1129938270949649, 0.08783018417773336, 0.056895300400134435, 0.04653321256477844, 0.05392124561870715, 0.04552033388498686, 0.028829909274415755, None, None, None, None, None, None, None, None]",698.3684359750891,426.28114320122586,"{'n_star': 698.3684359750891, 'decay_slope': -0.4157021158864716, 'r2': 0.9023574261023609, 'why': 'fitted'}",,,,,,0.215,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.rows,,"[0.16959896279755055, 0.1713309830259383, 0.11109214399368211, 0.12824648023346447, 0.1282738462397766, 0.12407004107323844, 0.06107665206321938, 0.04579597885118891, 0.047298431421227444, 0.044125063099774264, 0.039760535022735743, None, None, None, None, None, None, None, None]",865.7609734233122,436.3652519137556,"{'n_star': 865.7609734233122, 'decay_slope': -0.35654180191722784, 'r2': 0.8800719526744275, 'why': 'fitted'}",,,,,,0.185,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.rows,,"[0.16387720240180328, 0.1749571764391214, 0.11840854953136037, 0.12339411595639327, 0.14131501778131422, 0.10669156801536059, 0.0803950702741148, 0.051187490595703905, 0.04301826532154396, 0.04488010163877998, 0.053236202780194475, 0.020994698696963632, None, None, None, None, None, None, None]",857.7085859212245,532.752892524612,"{'n_star': 857.7085859212245, 'decay_slope': -0.36988907976728963, 'r2': 0.874555007754663, 'why': 'fitted'}",,,,,,0.155,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.rows,,"[0.1314466663774986, 0.13201050132041492, 0.1371878468715514, 0.14964904570400683, 0.14261431883051018, 0.10596094748143503, 0.07965612081423892, 0.05113986313788088, 0.047062103595344074, 0.0530551574201448, 0.051605501193335096, 0.022052266266892717, None, None, None, None, None, None, None]",1006.6745039009966,567.990522657063,"{'n_star': 1006.6745039009966, 'decay_slope': -0.3334553139838246, 'r2': 0.8233948362003967, 'why': 'fitted'}",,,,,,0.125,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.rows,,"[0.13005718687157788, 0.16947441410965558, 0.16197986158140576, 0.12195101302076033, 0.19159662797592442, 0.13840173998842578, 0.07440853782948653, 0.06392641162483392, 0.055411267908571316, 0.05493144351540025, 0.06452687526843237, 0.020090635859651818, 0.027568501074954566, 0.009036489392888591, 0.006804479750442072, None, None, None, None]",800.7230665182686,2216.4039250739124,"{'n_star': 800.7230665182686, 'decay_slope': -0.4419294535519718, 'r2': 0.8697547497357613, 'why': 'fitted'}",,,,,,0.09,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.rows,,"[0.17575981919011333, 0.14373862490354308, 0.1748751563828082, 0.14146872331157154, 0.16041818867688973, 0.1377495742767015, 0.08534839262987004, 0.06506829634877626, 0.08022089907285412, 0.0606790134688055, 0.06554114180160742, 0.020709450795901474, 0.02389338900874767, 0.012214097062559548, 0.0062043863877354055, None, None, None, None]",915.2683603249159,2233.484925460547,"{'n_star': 915.2683603249159, 'decay_slope': -0.4457416541767221, 'r2': 0.8900768430407486, 'why': 'fitted'}",,,,,,0.06,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.per_setting_screen.usable,,,,1640.9253300446012,981.5296570903186,True,1.6718041255207903,0.9270593735487559,-0.473860215771527,,0.25,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.per_setting_screen.usable,,,,426.28114320122586,698.3684359750891,True,1.6382813246923864,0.9023574261023609,-0.4157021158864716,,0.215,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.per_setting_screen.usable,,,,436.3652519137556,865.7609734233122,True,1.984028218622741,0.8800719526744275,-0.35654180191722784,,0.185,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.per_setting_screen.usable,,,,532.752892524612,857.7085859212245,True,1.6099557561418596,0.874555007754663,-0.36988907976728963,,0.155,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.per_setting_screen.usable,,,,567.990522657063,1006.6745039009966,True,1.7723438398087477,0.8233948362003967,-0.3334553139838246,,0.125,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.per_setting_screen.usable,,,,2216.4039250739124,800.7230665182686,True,2.7680030933932698,0.8697547497357613,-0.4419294535519718,,0.09,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.pi_min.per_setting_screen.usable,,,,2233.484925460547,915.2683603249159,True,2.440251430375754,0.8900768430407486,-0.4457416541767221,,0.06,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.rows,,"[0.08586744004145574, 0.08700246870787931, 0.06242742226367204, 0.05672799556514341, 0.054797705170772315, 0.0384970116685735, 0.03519254410363598, 0.028347081245696626, 0.020259309425748356, None, None, None, None, None, None, None, None, None, None]",107.87515899319283,141.2152508894963,"{'n_star': 107.87515899319283, 'decay_slope': -0.3863640625636667, 'r2': 0.9645882118105151, 'why': 'fitted'}",,,,,,,12,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.rows,,"[0.08500921998203458, 0.09859892349365146, 0.07726151031853884, 0.058600021207281965, 0.06408819087635034, 0.0673427975693714, 0.06484529509714743, 0.0368094597373228, 0.032550803261692296, 0.038231916001185584, 0.021306942076208535, None, None, None, None, None, None, None, None]",255.1731091168997,392.7699935628537,"{'n_star': 255.1731091168997, 'decay_slope': -0.2809159063243661, 'r2': 0.8347285226918267, 'why': 'fitted'}",,,,,,,15,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.rows,,"[0.07518717557512783, 0.07974446599587706, 0.08924331181755417, 0.10021873256640287, 0.08685956858501237, 0.07344014304387639, 0.06244152491253252, 0.04556153834286564, 0.05692456401961721, 0.050776070815170965, 0.04679553834053929, None, None, None, None, None, None, None, None]",1536.721088658842,438.3311666919929,"{'n_star': 1536.721088658842, 'decay_slope': -0.14686926486055119, 'r2': 0.6704483027327934, 'why': 'fitted'}",,,,,,,18,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.rows,,"[0.08091917819317171, 0.14485948566641615, 0.08227861209089063, 0.0775126163355393, 0.07787635517532338, 0.09660316388445103, 0.06338868664074171, 0.06688177989688965, 0.06621095547470818, 0.0724661602613238, 0.06317401830823163, 0.04289413807225867, 0.037361161535823695, 0.04134953002131686, 0.015057373405152563, None, None, None, None]",1570.8672728931454,2656.6390323158585,"{'n_star': 1570.8672728931454, 'decay_slope': -0.20094946378003803, 'r2': 0.7358688856117073, 'why': 'fitted'}",,,,,,,24,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.rows,,"[0.12716828609685538, 0.14988353291140155, 0.09119892383645911, 0.2220129790304235, 0.10029604171713724, 0.08934362533381923, 0.10562081696516479, 0.07094356980355127, 0.08631111453303952, 0.07241637059089878, 0.047933181215532694, 0.06129046452159198, 0.058894911106275594, 0.04204766632077278, None, None, None, None, None]",6955.631967987126,1906.104766455991,"{'n_star': 6955.631967987126, 'decay_slope': -0.19124654268523295, 'r2': 0.7161677626426692, 'why': 'fitted'}",,,,,,,30,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.rows,,"[0.10068140214923049, 0.0961189462199108, 0.12918490858616324, 0.1260124981157501, 0.10956813987747427, 0.1375371539197917, 0.09463599085732943, 0.07326093130759248, 0.14928543470634964, 0.0937641762655741, 0.0711505553303422, 0.05846374076330901, 0.0424996937159145, 0.048006578034823666, 0.023760810643105368, 0.018630024869399228, None, None, None]",4827.508471734126,3982.845375910339,"{'n_star': 4827.508471734126, 'decay_slope': -0.21281831364443138, 'r2': 0.7345610371121839, 'why': 'fitted'}",,,,,,,36,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.per_setting_screen.usable,,,,141.2152508894963,107.87515899319283,True,1.3090618100354996,0.9645882118105151,-0.3863640625636667,,,12,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.per_setting_screen.usable,,,,392.7699935628537,255.1731091168997,True,1.5392295642834302,0.8347285226918267,-0.2809159063243661,,,15,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.per_setting_screen.usable,,,,2656.6390323158585,1570.8672728931454,True,1.6911925521390438,0.7358688856117073,-0.20094946378003803,,,24,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.per_setting_screen.usable,,,,3982.845375910339,4827.508471734126,True,1.2120752919339046,0.7345610371121839,-0.21281831364443138,,,36,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.per_setting_screen.dropped,,,,438.3311666919929,1536.721088658842,False,3.505844907758218,0.6704483027327934,-0.14686926486055119,"the two n* estimators disagree by 3.5x (limit 3.0x); the decay is too shallow to extrapolate (slope=-0.147, |slope| < 0.15); n* amplifies noise by ~7x",,18,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.per_setting_screen.dropped,,,,1906.104766455991,6955.631967987126,False,3.6491341349089064,0.7161677626426692,-0.19124654268523295,the two n* estimators disagree by 3.6x (limit 3.0x),,30,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.informativeness.per_setting_screen.dropped,,,,438.3311666919929,1536.721088658842,False,3.505844907758218,0.6704483027327934,-0.14686926486055119,"the two n* estimators disagree by 3.5x (limit 3.0x); the decay is too shallow to extrapolate (slope=-0.147, |slope| < 0.15); n* amplifies noise by ~7x",,18,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.p.informativeness.per_setting_screen.dropped,,,,1906.104766455991,6955.631967987126,False,3.6491341349089064,0.7161677626426692,-0.19124654268523295,the two n* estimators disagree by 3.6x (limit 3.0x),,30,,,,,,,,,,,,
claims.C6_thm43.route_c_boundary_sigma_probe.rows,1.0,,,,,,,,,,,,20000,0.020993194979990693,"[0.006181675714698354, 0.10751771801735134]",0.06836418042952895,0.3070788656880172,,,,,,,
claims.C6_thm43.route_c_boundary_sigma_probe.rows,1.25,,,,,,,,,,,,76294,0.04187885114008417,"[0.00780922061780101, 0.04455477954462209]",0.03500244783504377,1.1964549261653603,,,,,,,
claims.C6_thm43.route_c_boundary_sigma_probe.rows,1.5,,,,,,,,,,,,227812,0.007436170314920554,"[0.005889254254548865, 0.013670567382205817]",0.020256075689503012,0.3671081422140461,,,,,,,
claims.C6_thm43.route_c_boundary_sigma_probe.rows,1.75,,,,,,,,,,,,574458,0.007022857698765372,"[0.004772506088344064, 0.007901478514706017]",0.012755998767467795,0.55055333782848,,,,,,,
claims.C6_thm43.route_c_boundary_sigma_probe.rows,2.0,,,,,,,,,,,,1280000,0.0037622686818468004,"[0.003075873335645407, 0.004084815760283134]",0.008545522553691119,0.44026198026026403,,,,,,,
independent_check.c6_slope_recheck,,,,,,,,,,,,,,,,,,True,0.4800580595115054,0.0605146674168991,True,0.4195433920946063,False,"the two estimators disagree by far more than either one's own claimed precision, so the boundary probe resolves no slope and must not be read as evidence for or against the missing sigma^3 factor"
